420-99-4529,Myrtia,Lampke,1995-10-08,Cat
232-58-9737,Nicolina,Fawley,1975-06-05,Hamster
768-09-9667,Venus,Braun,1946-10-25,Dog
568-19-0410,Gustie,Zorzini,1994-02-21,Bird
640-53-0767,Annabelle,Gerren,2009-12-10,Bird
692-88-7499,Fernande,Wilderspoon,1983-02-19,Ferret
821-56-8348,Rosalie,Seagrove,2004-07-09,Dog
681-31-8289,Somerset,Morales,2000-04-09,Hamster
653-92-9020,Abbe,Willmer,1998-01-22,Hamster
760-20-0899,Sly,Fidell,1981-09-03,Dog
564-15-1134,Smitty,Strother,1965-04-11,Hamster
792-08-8607,Reggie,Gras,2011-02-15,Dog
810-48-8917,Dona,Polye,1986-05-28,Hamster
443-01-6622,Shay,Yeoman,1986-11-07,Cat
627-33-1020,Babbette,Lovelock,1988-10-27,Bird
810-63-5388,Malvina,Loveard,1961-07-30,Cat
722-52-0835,Rodrigo,Ketchell,1974-10-23,Ferret
538-63-0999,Nanni,Melpuss,1970-05-02,Dog
284-18-3260,Corinne,Rosborough,1971-02-02,Dog
680-82-3436,Paulie,Howel,1978-09-21,Hamster
200-43-3569,Esta,MacGaughey,1946-07-18,Bird
579-85-0279,Juanita,Attrey,1996-11-02,Ferret
136-61-3897,Bertha,Vogele,2001-03-16,Cat
725-19-9554,Leora,Renac,1946-04-11,Hamster
216-80-5137,Ellsworth,Gregory,1956-12-06,Dog
472-27-6732,Elden,Kinchley,1967-10-12,Ferret
192-77-7008,Gianni,Mulheron,1958-12-02,Ferret
634-07-5847,Keelia,Mandeville,1971-09-29,Hamster
330-51-4167,Kimble,Glandon,1961-08-25,Ferret
869-29-6123,Cherrita,Doody,1961-01-23,Ferret
653-68-3039,Joelie,Pischoff,1975-08-18,Bird
213-64-9540,Hattie,Sullens,1953-01-05,Ferret
380-66-8067,Benji,While,1972-02-06,Hamster
783-70-8944,Bendicty,Hartin,1988-05-05,Dog
555-38-7164,Ware,Beville,2005-04-02,Bird
212-83-1805,Toiboid,Propper,1955-04-02,Cat
582-10-6075,Melvin,Stichall,1969-06-12,Ferret
473-05-5369,Tuckie,Staunton,1958-12-24,Cat
810-29-0887,Dalli,Areles,1980-10-28,Ferret
747-05-4888,Heddi,Landeg,1955-10-13,Hamster
481-10-5979,Jeremias,Witch,1985-05-08,Ferret
