1;Tallulah;Yter;11/28/1990;Hamster
2;Rex;Ferrillio;10/29/1977;Hamster
3;Moria;Leggin;3/31/1953;Ferret
4;Halie;Cauderlie;12/11/1974;Ferret
5;La verne;Greatorex;7/21/1959;Ferret
6;Georgine;Farran;2/23/1994;Bird
7;Meggy;Findlater;10/29/2010;Ferret
8;Franklin;Estabrook;12/03/2001;Bird
9;Peyter;Adamini;5/15/1971;Bird
10;Averil;Koles;5/21/1993;Cat
11;Kirsteni;Meadmore;2/12/2011;Cat
12;Bryan;Arminger;11/06/1979;Dog
13;Betteanne;Coomer;12/20/1964;Ferret
14;Adorne;Galia;11/30/2010;Ferret
15;Berna;Tease;12/02/1988;Dog
16;Kizzee;Liggins;12/17/1958;Bird
17;Mariejeanne;Whiley;1/15/1988;Dog
18;Cara;Dubique;11/15/1968;Dog
19;Mitchael;Drain;8/07/1980;Bird
20;Winston;Sibille;6/23/1962;Hamster
21;Aeriel;McPartlin;8/10/1989;Ferret
22;Nolie;Juggins;8/03/2014;Hamster
23;Giorgio;Rhymer;1/24/2005;Hamster
24;Cobb;Funnell;10/02/1995;Ferret
25;Mallorie;Butt Gow;1/15/1961;Ferret
26;Krissy;Pascoe;4/08/1963;Ferret
27;Henryetta;Tocknell;12/24/1961;Bird
28;Xenos;Kornel;5/05/1965;Ferret
29;Vikky;Vardon;9/10/1959;Ferret
30;Emmalynne;Klehyn;3/16/2007;Cat
31;Valli;Bernolet;2/09/1964;Hamster
32;Marsiella;Gillman;11/22/2002;Cat
33;Carroll;Sworne;10/22/1981;Ferret
34;Dulciana;Kunze;3/15/2004;Ferret
35;Urbano;Winsiowiecki;12/14/1987;Bird
36;Diena;Darben;7/02/1959;Dog
37;Grier;Roake;2/01/1966;Hamster
38;Patty;Jaze;9/05/1967;Ferret
39;Dorelia;Precious;1/05/1961;Dog
40;Laird;Klimaszewski;11/10/1988;Ferret
41;Corrianne;Redborn;5/19/2011;Ferret
42;Gareth;Ibert;1/02/1982;Cat
43;Ivory;Badsey;4/03/1969;Cat
44;Maxi;Gossling;10/22/1960;Dog
45;Perren;Stowte;1/29/1975;Hamster
46;Sebastiano;Croughan;12/08/2009;Hamster
47;Susanna;Bevington;8/19/2015;Dog
48;Jacquelyn;Overell;1/21/1975;Cat
49;Ashby;Critchlow;11/10/2012;Bird
50;Kassey;Gilardengo;9/10/2007;Bird
51;Florian;Lehrmann;3/07/1948;Cat
52;Hadley;Lorkins;6/20/2004;Bird
53;Roseline;Jatczak;10/07/1994;Cat
54;Roana;Bridgwood;5/11/1971;Ferret
55;Buddy;Alkins;11/29/2013;Dog
56;Nealson;Haseley;6/02/1956;Hamster
57;Hephzibah;Sackes;11/08/1946;Dog
58;Sandi;Worsnop;11/06/1960;Dog
59;Morgan;Dimitresco;9/22/1986;Cat
60;Yurik;Heugle;6/14/1985;Bird
61;Malory;Fell;3/29/1947;Hamster
62;Amelia;Losbie;6/11/1948;Dog
63;Daria;Holah;4/26/1953;Dog
64;Barbi;Calcott;6/27/1978;Hamster
65;Jorry;Stode;8/31/1992;Ferret
66;Sergent;Laycock;5/17/1995;Cat
67;Arlen;Witheridge;4/27/2005;Bird
68;Teddy;McKinney;7/10/1968;Ferret
69;Anet;Rainey;12/17/2010;Ferret
70;Elana;Hurndall;10/24/1971;Cat
71;Madel;Panchen;4/07/1974;Hamster
72;Cindy;Sheehan;9/06/1957;Cat
73;Hadleigh;Riseam;9/26/1954;Bird
74;Hieronymus;Mutlow;1/15/2002;Bird
75;Caryl;Fairpool;2/17/1996;Bird
76;Merrel;Petticrow;5/29/1998;Bird
77;Tabbitha;Bellinger;4/02/1972;Dog
78;Eulalie;Cattini;5/08/2014;Dog
79;Elfrida;Spincke;12/27/1982;Cat
80;Daile;Osgar;9/19/1997;Hamster
81;Ward;Dulen;7/27/1951;Bird
82;Fraser;Padberry;5/12/1994;Bird
83;Gerry;Mandres;6/25/2004;Ferret
84;Deane;Wignall;4/30/1979;Cat
85;Alys;Wooder;8/08/1964;Ferret
86;Stefa;Lidgey;11/15/1972;Bird
87;Llywellyn;Riba;7/15/2005;Hamster
88;Ambrose;Abramamovh;10/15/1972;Hamster
89;Ennis;Tackett;8/22/1965;Bird
90;Reg;Dallaghan;9/13/1993;Bird
91;Shea;Battye;11/04/1969;Bird
92;Grantham;McComiskie;5/03/1974;Hamster
93;Dallas;Finnie;3/14/1982;Bird
94;Carey;Itzakovitz;1/31/1950;Cat
95;Heida;Wailes;3/20/2012;Ferret
96;Barrett;Allam;5/11/1987;Dog
97;Janeva;Slatford;10/03/1982;Dog
98;Sabina;Rowesby;1/01/2012;Ferret
99;Lettie;Brasseur;6/14/1977;Bird
100;Hermie;Leishman;9/07/1990;Ferret
101;Marya;Targetter;1/26/1967;Cat
102;Min;Bart;7/07/1969;Cat
103;Kandy;Westbury;1/11/2004;Bird
104;Beauregard;Waliszewski;2/10/2012;Bird
105;Viole;Feben;2/24/1958;Cat
106;Adrienne;Geator;10/11/1962;Cat
107;Tandy;Chopin;12/24/1964;Ferret
108;Carmen;Haddleston;12/31/1965;Bird
109;Meyer;Cullin;3/24/1961;Cat
110;Honor;Lionel;5/29/1950;Cat
111;Ivor;Pitchers;1/18/1977;Bird
112;Georas;Pfeifer;1/10/2003;Dog
113;Robinetta;Humphrys;11/11/2013;Ferret
114;Godfrey;Gately;9/04/1964;Bird
115;Leigh;Cherry;3/05/1998;Ferret
